position_name,position_idx,layer,feature_id,feature_type,activation_value,steering_scale,move,prob_diff,original_prob,modified_prob,fen
pos_21,21,0,3216,transcoder,1.5138540267944336,-2.0,f3e5,-0.42455216171219945,0.4265449047088623,0.001992742996662855,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,0,13967,lorsa,4.1287522315979,-2.0,f3e5,-0.4245380077045411,0.4265449047088623,0.0020068970043212175,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,1,14853,transcoder,0.7213744521141052,-2.0,f3e5,-0.4244490982964635,0.4265449047088623,0.002095806412398815,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_47,47,0,12046,lorsa,3.335421323776245,-2.0,f3e5,-0.4242554036900401,0.4265449047088623,0.002289501018822193,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_47,47,0,11076,transcoder,1.223260521888733,-2.0,f3e5,-0.4242430776357651,0.4265449047088623,0.002301827073097229,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_27,27,0,12663,transcoder,1.3561315536499023,-2.0,f3e5,-0.4239471156615764,0.4265449047088623,0.0025977890472859144,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,2,15753,transcoder,0.7718446254730225,-2.0,f3e5,-0.4238637671805918,0.4265449047088623,0.002681137528270483,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_27,27,0,7465,lorsa,5.185208320617676,-2.0,f3e5,-0.4238481121137738,0.4265449047088623,0.002696792595088482,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,14,7496,transcoder,3.442617177963257,-2.0,f3e5,-0.42329279566183686,0.4265449047088623,0.003252109047025442,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,3,11376,transcoder,1.1531273126602173,-2.0,f3e5,-0.4218256357125938,0.4265449047088623,0.004719268996268511,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,2,9335,lorsa,3.3572487831115723,-2.0,f3e5,-0.4215439152903855,0.4265449047088623,0.00500098941847682,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_36,36,14,12029,transcoder,1.2375859022140503,-2.0,f3e5,-0.4203282971866429,0.4265449047088623,0.0062166075222194195,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,4,14280,transcoder,0.7836771607398987,-2.0,f3e5,-0.4195089745335281,0.4265449047088623,0.007035930175334215,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,6,14977,transcoder,2.1387689113616943,-2.0,f3e5,-0.41717514395713806,0.4265449047088623,0.009369760751724243,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_36,36,14,138,transcoder,5.686919212341309,-2.0,f3e5,-0.4168639127165079,0.4265449047088623,0.009680991992354393,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,5,14977,transcoder,1.2401914596557617,-2.0,f3e5,-0.4046241473406553,0.4265449047088623,0.021920757368206978,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_3,3,0,13486,transcoder,2.0739755630493164,-2.0,f3e5,-0.39994432777166367,0.4265449047088623,0.02660057693719864,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_3,3,0,10273,lorsa,4.131845951080322,-2.0,f3e5,-0.3972466979175806,0.4265449047088623,0.0292982067912817,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_39,39,0,8135,transcoder,1.5426851511001587,-2.0,f3e5,-0.39426468312740326,0.4265449047088623,0.032280221581459045,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_20,20,0,4675,transcoder,1.4636274576187134,-2.0,f3e5,-0.39265038073062897,0.4265449047088623,0.03389452397823334,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_20,20,0,10079,lorsa,3.7627112865448,-2.0,f3e5,-0.3914107382297516,0.4265449047088623,0.03513416647911072,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_20,20,1,11907,transcoder,0.9953451752662659,-2.0,f3e5,-0.38879210874438286,0.4265449047088623,0.037752795964479446,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_3,3,1,853,transcoder,1.2332260608673096,-2.0,f3e5,-0.38742998614907265,0.4265449047088623,0.03911491855978966,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,7,14977,transcoder,1.6010267734527588,-2.0,f3e5,-0.37913277745246887,0.4265449047088623,0.04741212725639343,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
pos_21,21,9,786,transcoder,0.7339487671852112,-2.0,f3e5,-0.3742903284728527,0.4265449047088623,0.0522545762360096,r1bqk1nr/2p2pb1/p2p3p/1p3P1Q/3P2P1/2N1BN2/PPP5/2KR1B2 w - - 0 1
